movie_score,movie_title,release_date
39,Angel Eyes,"Release Date:May 18, 2001"
48,Angel-A,"Release Date:May 25, 2007"
54,Angela's Ashes,"Release Date:Dec 22, 1999"
48,Angels & Demons,"Release Date:May 15, 2009"
38,Angels Crest,"Release Date:Dec 30, 2011"
34,Angels in Stardust,"Release Date:Feb 21, 2014"
39,Angels Sing,"Release Date:Nov 1, 2013"
52,Anger Management,"Release Date:Apr 11, 2003"
65,Animal Factory,"Release Date:Oct 13, 2000"
82,Animal House,"Release Date:Jul 28, 1978"
83,Animal Kingdom,"Release Date:Aug 13, 2010"
71,Animals,"Release Date:May 15, 2015"
68,Anita,"Release Date:Mar 21, 2014"
76,Anita O'Day: The Life of a Jazz Singer,"Release Date:Aug 15, 2008"
42,Anna,"Release Date:Jun 6, 2014"
56,Anna and the King,"Release Date:Dec 17, 1999"
63,Anna Karenina,"Release Date:Nov 16, 2012"
37,Annabelle,"Release Date:Oct 3, 2014"
37,Annapolis,"Release Date:Jan 27, 2006"
39,Annie,"Release Date:Jun 18, 1982"
33,Annie,"Release Date:Dec 19, 2014"
77,Annie Get Your Gun (re-release),"Release Date:Apr 16, 2004"
50,Anonymous,"Release Date:Oct 28, 2011"
23,Another 48 Hrs.,"Release Date:Jun 8, 1990"
66,Another Earth,"Release Date:Jul 22, 2011"
37,Another Gay Movie,"Release Date:Jul 28, 2006"
46,Another Happy Day,"Release Date:Nov 18, 2011"
64,Ant-Man,"Release Date:Jul 17, 2015"
62,Antarctic Edge: 70 South,"Release Date:Apr 17, 2015"
69,Antarctica: A Year on Ice,"Release Date:Nov 28, 2014"
31,Antitrust,"Release Date:Jan 12, 2001"
55,Antiviral,"Release Date:Apr 12, 2013"
62,Antwone Fisher,"Release Date:Dec 19, 2002"
72,Antz,"Release Date:Oct 2, 1998"
82,Anvil! The Story of Anvil,"Release Date:Apr 10, 2009"
14,Any Day,"Release Date:May 1, 2015"
60,Any Day Now,"Release Date:Dec 14, 2012"
52,Any Given Sunday,"Release Date:Dec 22, 1999"
47,Anything But Love,"Release Date:Nov 14, 2003"
43,Anything Else,"Release Date:Sep 19, 2003"
59,Anywhere But Here,"Release Date:Nov 12, 1999"
90,Apocalypse Now Redux,"Release Date:Aug 3, 2001"
68,Apocalypto,"Release Date:Dec 8, 2006"
77,Apollo 13,"Release Date:Jun 30, 1995"
24,Apollo 18,"Release Date:Sep 2, 2011"
64,Appaloosa,"Release Date:Sep 19, 2008"
40,Appleseed,"Release Date:Jan 14, 2005"
73,Appropriate Behavior,"Release Date:Jan 16, 2015"
53,Apres Vous (After You),"Release Date:Jun 3, 2005"
38,April's Shower,"Release Date:Jan 13, 2006"
51,Apt Pupil,"Release Date:Oct 23, 1998"
54,Aqua Teen Hunger Force Colon Movie Film for Theaters,"Release Date:Apr 13, 2007"
51,Aquamarine,"Release Date:Mar 3, 2006"
62,Ararat,"Release Date:Nov 15, 2002"
73,Arbitrage,"Release Date:Sep 14, 2012"
82,Archipelago,"Release Date:Jun 27, 2014"
64,Arctic Tale,"Release Date:Jul 25, 2007"
36,Are We Done Yet?,"Release Date:Apr 4, 2007"
27,Are We There Yet?,"Release Date:Jan 21, 2005"
37,Are You Here,"Release Date:Aug 22, 2014"
86,Argo,"Release Date:Oct 12, 2012"
60,Aristide and the Endless Revolution,"Release Date:Nov 17, 2005"
65,Arlington Road,"Release Date:Jul 9, 1999"
42,Armageddon,"Release Date:Jul 1, 1998"
50,Armored,"Release Date:Dec 4, 2009"
57,Army of Darkness,"Release Date:Feb 19, 1993"
99,Army of Shadows,"Release Date:Apr 28, 2006"
46,Around the Bend,"Release Date:Oct 8, 2004"
49,Around the World in 80 Days,"Release Date:Jun 16, 2004"
62,Art & Copy,"Release Date:Aug 21, 2009"
68,Art and Craft,"Release Date:Sep 19, 2014"
54,Art School Confidential,"Release Date:May 5, 2006"
39,Arthur and the Invisibles,"Release Date:Dec 29, 2006"
69,Arthur Christmas,"Release Date:Nov 23, 2011"
42,Arthur Newman,"Release Date:Apr 26, 2013"
65,Artificial Intelligence: AI,"Release Date:Jun 29, 2001"
38,"As Above, So Below","Release Date:Aug 29, 2014"
28,As Cool as I Am,"Release Date:Jun 7, 2013"
67,As Good as It Gets,"Release Date:Dec 23, 1997"
40,Ash Wednesday,"Release Date:Oct 11, 2002"
46,Ashby,"Release Date:Sep 25, 2015"
58,Ask the Dust,"Release Date:Mar 10, 2006"
60,Asphalt Zahov,"Release Date:Mar 13, 2002"
37,Ass Backwards,"Release Date:Nov 8, 2013"
20,Assassin's Bullet,"Release Date:Aug 3, 2012"
64,Assassination,"Release Date:Aug 7, 2015"
51,Assassination Tango,"Release Date:Mar 28, 2003"
54,Assault on Precinct 13,"Release Date:Jan 19, 2005"
24,Assault on Wall Street,"Release Date:May 10, 2013"
57,Assisted Living,"Release Date:Feb 2, 2005"
29,Astoria,"Release Date:Apr 5, 2002"
53,Astro Boy,"Release Date:Oct 23, 2009"
51,Asylum,"Release Date:Aug 12, 2005"
40,At First Sight,"Release Date:Jan 15, 1999"
60,At Middleton,"Release Date:Jan 31, 2014"
47,At the Devil's Door,"Release Date:Sep 12, 2014"
72,At the Height of Summer,"Release Date:Jul 6, 2001"
91,Atanarjuat: The Fast Runner,"Release Date:Jun 7, 2002"
63,ATL,"Release Date:Mar 31, 2006"
52,Atlantis: The Lost Empire,"Release Date:Jun 8, 2001"
26,Atlas Shrugged II: The Strike,"Release Date:Oct 12, 2012"
9,Atlas Shrugged III: Who Is John Galt?,"Release Date:Sep 12, 2014"
85,Atonement,"Release Date:Dec 7, 2007"
69,Audition,"Release Date:Aug 8, 2001"
49,Auggie Rose,"Release Date:Jun 15, 2001"
39,August,"Release Date:Jul 11, 2008"
38,August Rush,"Release Date:Nov 21, 2007"
58,August: Osage County,"Release Date:Dec 25, 2013"
74,Augustine,"Release Date:May 17, 2013"
63,Aurora,"Release Date:Jun 29, 2011"
58,Aurora Borealis,"Release Date:Sep 15, 2006"
42,Austenland,"Release Date:Aug 16, 2013"
62,Austin Powers in Goldmember,"Release Date:Jul 26, 2002"
51,Austin Powers: International Man of Mystery,"Release Date:May 2, 1997"
59,Austin Powers: The Spy Who Shagged Me,"Release Date:Jun 11, 1999"
53,Australia,"Release Date:Nov 14, 2008"
16,Authors Anonymous,"Release Date:Apr 18, 2014"
66,Auto Focus,"Release Date:Oct 18, 2002"
37,Autmata,"Release Date:Oct 10, 2014"
41,Autumn Blood,"Release Date:Sep 19, 2014"
24,Autumn in New York,"Release Date:Aug 11, 2000"
83,Avatar,"Release Date:Dec 18, 2009"
66,Avengers: Age of Ultron,"Release Date:May 1, 2015"
64,Avenue Montaigne,"Release Date:Feb 16, 2007"
29,AVP: Alien vs. Predator,"Release Date:Aug 13, 2004"
29,AVPR: Aliens vs Predator - Requiem,"Release Date:Dec 25, 2007"
33,Awake,"Release Date:Nov 30, 2007"
54,Awake: The Life of Yogananda,"Release Date:Oct 10, 2014"
74,Awakenings,"Release Date:Dec 20, 1990"
88,Away from Her,"Release Date:May 4, 2007"
58,Away We Go,"Release Date:Jun 5, 2009"
68,Awesome; I Fuckin' Shot That!,"Release Date:Mar 31, 2006"
45,Ayurveda: Art of Being,"Release Date:Jul 17, 2002"
49,Azumi,"Release Date:Jul 21, 2006"
